Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
World,6800,Present day,--,110 ,--,--,250 ,--,--,28 ,--,--,65 ,--,--,30 ,--,--,63 ,--,--,19 ,--,--,47 ,--
World,6800,K14_rcp26_2050,130,150,160,270,300,320,32,37,43,71,78,86,34,39,45,69,77,85,22,25,29,58,67,79
World,6800,K14_rcp26_2100,150,190,250,300,340,400,36,48,65,78,95,120,38,49,65,77,95,120,27,37,56,71,96,130
World,6800,K14_rcp45_2050,140,150,170,280,300,320,33,38,44,72,79,87,35,40,45,70,77,85,22,25,30,58,69,80
World,6800,K14_rcp45_2100,160,200,260,310,360,420,39,52,70,82,100,130,41,53,70,81,100,130,29,41,62,77,110,150
World,6800,K14_rcp85_2050,140,150,170,280,300,330,33,39,45,73,80,89,35,41,47,71,79,88,23,26,31,60,71,83
World,6800,K14_rcp85_2100,180,230,310,330,390,460,44,60,85,90,110,150,46,60,85,89,110,150,34,50,80,89,120,170
World,6800,K17_rcp26_2050,130,150,170,260,290,330,29,37,47,68,77,91,32,39,48,66,75,89,20,24,32,52,64,85
World,6800,K17_rcp26_2100,140,190,280,280,350,430,32,50,75,72,97,140,34,51,74,71,96,130,24,37,64,61,97,150
World,6800,K17_rcp45_2050,130,150,180,260,300,330,30,38,48,68,78,92,32,40,48,66,77,90,21,25,33,52,66,87
World,6800,K17_rcp45_2100,170,250,380,320,400,510,41,64,110,84,120,180,43,64,110,83,120,170,31,53,110,78,130,210
World,6800,K17_rcp85_2050,130,150,180,270,300,340,31,39,50,69,81,95,33,41,51,67,79,93,21,26,34,54,69,92
World,6800,K17_rcp85_2100,220,340,520,380,480,630,56,94,180,110,170,260,57,93,170,110,160,250,45,91,200,110,190,290
